Observa_lematizada ; Observa_Orig ; Presta_Lematizada;Presta_Orig
encontrar roto rampa;se encuentra rota la rampa;reparación rampo accesibilidad;Reparación de rampa de accesibilidad;00132186/23
encontrar rata veredo marca;se encuentran ratas en la vereda marca.;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00132181/23
solicitar plantación árbol;Solicita plantación de árbol;plantación árbol;Plantación de árbol;00232995/23
solicitar fumigación dengue desratización;Solicita fumigación por dengue y también desratización.;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00233005/23
Lascano 2834 2864 contenedor roto tapa pedal;Lascano 2834 y 2864: contenedores rotos tapa uno y otro  pedal;queja Contenedores basura;Queja por Contenedores de basura;00233036/23
vecina indicar cuadra 2 contenedor solicitar reparación recambio roto ambos pidir vaciado;VECINA INDICA QUE EN LA CUADRA HAY 2 CONTENEDORES, DE UNO SOLICITA REPARACIÓN  Y DEL OTRO RECAMBIO PORQUE ESTÁ MUY ROTO. DE AMBOS PIDE VACIADO;queja Contenedores basura;Queja por Contenedores de basura;00347961/23
solicitar reparación contenedor mismo encontrar mal;Solicita reparación de contenedor, ya que el mismo se encuentra en mal estado.;queja Contenedores basura;Queja por Contenedores de basura;00357973/23
vecina manifestar area Licencia conducir recibio maltrato empleado atender sede comunal N 7 atender puesto admision Solicita poder verificar poder tomar medida Gracias;La vecina manifiesta que desde el area de Licencia de conducir recibio un maltrato de un empleado que atiende en la sede comunal N 7. Atiende en el puesto de admision. Solicita que se pueda verificar y se puedan tomar medidas. Gracias;propuesta mejorar trámite;Propuestas para la mejora en trámites;00268338/23
vecina solicitar reubicacion contenedor obtruir entrada salido garaje-Urgente;Vecina solicita reubicacion de contenedor ya que obtruye entrada/salida  de garaje-Urgente;queja Contenedores basura;Queja por Contenedores de basura;00313820/23
solicitar poda árbol puerta casa rama ingresar hacia terraza además contener insecto ingresar casa;Solicito la poda del árbol que está en la puerta de mi casa ya que sus ramas ingresan hacia mi terraza y además porque contiene insectos que ingresan en mi casa.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00149567/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00319718/23
Chofer taxi detenido 10.55 hs parada línea 135 deber tomar necesidad arrimar x movilidad reducido mostrar CUD pedir liberar zona detención responder yo sarta insulto insistir decir infracción si ver cordón amarillo seguir insultar yo finalmente adelantar apenas metro medio bajar dejar baliza ingresar Farmacity llegar unidad poder arrimar quedar viajar motivar tomar foto adjunto quedar esperar siguiente interno así ver infractor salir bolsa compra comprobar 15 20 minuto obstruir zona detención;Chofer de taxi detenido (10.55 hs) en parada línea 135 que debía tomar con necesidad que me arrimen x movilidad reducida; mostré mi CUD y pedí liberara zona de detención, respondiéndome con una sarta de insultos. Insistí diciendo que estaba en infracción, si no vió el cordón amarillo, y siguió insultándome; finalmente se adelantó apenas metro y medio. Bajó dejando balizas e ingresó en Farmacity. Al llegar la unidad no pudo arrimar y quedé sin viajar, lo que motivó que tomara fotos adjuntas y me quedara a esperar el siguiente interno, y así es que vi al infractor que saliera con su bolsa de compras, comprobando que estuvo de 15 a 20 minutos obstruyendo zona de detención.;vehículo mal estacionado;Vehículo mal estacionado;00006549/23
Esquina San Juan pozo trabajo vereda cercado `` corralito ' ' madera vehículo taxi estacionado senda peatonal rampa dejar lugar cruzar mientras chofer comprar plácidamente comercio carne dicho esquina importar él tiempo tomar foto esperar él salir increpar él encima burlar . . .;Esquina con San Juan donde hay pozo de trabajos en vereda cercado por "corralito" de maderas, y este vehículo taxi estacionado sobre senda peatonal y rampa no dejando lugar para cruzar, mientras su chofer compraba plácidamente en el comercio de carnes de dicha esquina sin importarle nada!!! Tuve tiempo de tomar fotos y esperarlo a que salga para increparlo y encima se burló...;vehículo mal estacionado;Vehículo mal estacionado;00129329/23
llevar 1 mes allí abandonado delante doble portón Plaza Amaya hacer igual pedido día 12 02 00086668 23 figura cansado usar cuadra abandonar tipo vehículo si así poder llamar cascajo;Lleva para 1 mes allí abandonado delante del doble portón de Plaza Amaya. Hice igual pedido el día 12/02 (00086668/23) y ni figura. Estamos cansados que se use esta cuadra para abandonar todo tipo de vehículos (si así se puede llamar a este cascajo)!;vehículo mal estacionado;Vehículo mal estacionado;00108628/23
Camión antiguo mal estacionado delante doble portón Plaza Amaya hacer 10 día según policía inhibición registrado calle Díaz Vélez ¿ pasar VTV querer consultar si ser zona R2 poder haber empresa habillitado transportista micro escolar turismo dejar el estacionado calle agradecer respuesta dar cómo contactar área correspondencia Gracias;Camión antiguo en muy mal estado estacionado delante del doble portón de Plaza Amaya hace ya 10 días. Según policía sin inhibición y registrado en calle Díaz Vélez. ¿Pasa VTV? Quiero consultar si siendo zona R2 pueden haber empresas habillitadas transportistas y  de micros tanto escolares como de turismo, y dejarlos estacionados en las calles. Agradeceré respuesta o me den cómo contactar al área de correspondencia. Gracias.;vehículo mal estacionado;Vehículo mal estacionado;00086668/23
Camión viejo mal graffiteado ventanuco trasero roto paragolpe delantero medio suelto llevar 1 mes delante doble portón Plaza Amaya Ingresado 2 vez `` Mal estacionado ' ' dado baja argumento absurdo ver problema ubicación peligroso transitar noche obstruir luz dado hacer medio año pedir volver conectar reflector Patio Juegos hecho desramar árbol interior plaza pie 2 metro altura;Camión viejo y en muy mal estado, todo graffiteado, ventanucos traseros rotos, paragolpe delantero medio suelto. Lleva 1 mes delante del doble portón de Plaza Amaya. Ingresado 2 veces como "Mal estacionado" y dado de baja con argumentos absurdos como que no se ve el problema o la ubicación! Es peligroso transitar de noche porque obstruye la luz, dado que hace medio año pedimos vuelvan a conectar los reflectores del Patio de Juegos y no lo han hecho, ni desraman árboles del interior de la plaza desde sus pies hasta 2 metros de altura.;remoción vehículo abandonado;Remoción de vehículo abandonado;00114869/23
Camión empresa MISUED Colombres 1216 estacionado noche anterior vereda ocupar parte paso;Camión de empresa MISUED (Colombres 1216) estacionado desde noche anterior sobre vereda, ocupando parte del paso.;vehículo mal estacionado;Vehículo mal estacionado;00258700/23
vecina indicar zona dengue pulga;vecina indica que en la zona hay mucho dengue y pulgas;criadero mosquito;Criaderos de mosquitos;00172242/23
vecina solicitar verificacion arbol enfermo ubicado AYACUCHO 973-980 comentar trata magnolio flores blanca perfurmad .este arbol hoja incluso PARTE tronco mancha blanca parecer hongo ademas rama tan largas pegada ventana dormitorio segundo piso domicilio AYACUCHO 980 provocar aire InGRESA vivienda contaminado hongo bortaron mancha alergia piel tambien mascota problema respirar partir salieron hongo arbol solicitar solucion urgente;LA VECINA SOLICITA LA VERIFICACION DE UN ARBOL ENFERMO QUE ESTA UBICADO EN AYACUCHO ENTRE 973-980. COMENTA QUE SE TRATA DE UNA MAGNOLIA CON FLORES BLANCAS PERFURMADAS.ESTE ARBOL TIENE EN SUS HOJAS INCLUSO EN PARTE DE SU TRONCO MANCHAS BLANCAS, QUE AL PARECER SON HONGOS. ADEMAS SUS RAMAS SON TAN LARGAS QUE ESTA PEGADAS A LA VENTANA DE SU DORMITORIO QUE ESTA EN EL SEGUNDO PISO DEL DOMICILIO AYACUCHO 980. ESTO PROVOCA QUE EL AIRE QUE INGRESA A SU VIVIENDA ESTE CONTAMINADO CON ESTE HONGO. LE BORTARON MANCHAS,ALERGIA EN SU PIEL Y TAMBIEN EN SU MASCOTA, TIENE PROBLEMAS PARA RESPIRAR , TODO ESTO A PARTIR DE QUE LE SALIERON ESTOS HONGOS AL ARBOL. SOLICITA UNA SOLUCION URGENTE.;árbol enfermedad;Árbol con enfermedades;00010723/23
vecina solicitar verificacion arbol enfermo ubicado AYACUCHO 973-980 comentar trata magnolio flores blanca perfurmad .este arbol hoja incluso PARTE tronco mancha blanca parecer hongo ademas rama tan largas pegada ventana dormitorio segundo piso domicilio AYACUCHO 980 provocar aire InGRESA vivienda contaminado hongo bortaron mancha alergia piel tambien mascota problema respirar partir salieron hongo arbol solicitar solucion urgente;LA VECINA SOLICITA LA VERIFICACION DE UN ARBOL ENFERMO QUE ESTA UBICADO EN AYACUCHO ENTRE 973-980. COMENTA QUE SE TRATA DE UNA MAGNOLIA CON FLORES BLANCAS PERFURMADAS.ESTE ARBOL TIENE EN SUS HOJAS INCLUSO EN PARTE DE SU TRONCO MANCHAS BLANCAS, QUE AL PARECER SON HONGOS. ADEMAS SUS RAMAS SON TAN LARGAS QUE ESTA PEGADAS A LA VENTANA DE SU DORMITORIO QUE ESTA EN EL SEGUNDO PISO DEL DOMICILIO AYACUCHO 980. ESTO PROVOCA QUE EL AIRE QUE INGRESA A SU VIVIENDA ESTE CONTAMINADO CON ESTE HONGO. LE BORTARON MANCHAS,ALERGIA EN SU PIEL Y TAMBIEN EN SU MASCOTA, TIENE PROBLEMAS PARA RESPIRAR , TODO ESTO A PARTIR DE QUE LE SALIERON ESTOS HONGOS AL ARBOL. SOLICITA UNA SOLUCION URGENTE.;árbol enfermedad;Árbol con enfermedades;00029726/23
vecina denunciar árbol dirección infectado enfermo mancha blanco viento volar entrar departamento afectar planta mascoto mismo solicitar resolución urgente;vecina denuncia que el árbol de esta dirección esta infectado/enfermo. tiene manchas blancas y esto con el viento vuela y entra a su departamento, afectando sus plantas, mascota y hasta ella misma. se solicita resolución urgente;árbol enfermedad;Árbol con enfermedades;00097820/23
vecina solicitar inspcccion árbol encontrar vereda tanto torcido rama llegar cuadra enfrente miedo árbol quiebre;vecina solicita la INSPECCION del árbol que se encuentra en la vereda, esta tan torcido que las ramas llegan a la cuadra de enfrente. tiene miedo que el árbol se quiebre;extracción árbol;Extracción de árbol;00097834/23
vecina comunicar motivo acercar anterior mente cortar rama enfermo árbol paso ir ir contagiar árbol completo motivo solicitar atención inmediato árbol saludo cordial;La vecina se comunica por el motivo de que no se acercaron anterior mente a cortar las ramas enfermas del árbol, que al paso que va, va a contagiar el árbol completo por ese motivo se solicita una atención inmediata al árbol. Saludos cordiales.;árbol enfermedad;Árbol con enfermedades;00141905/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00079096/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00079100/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00079717/23
vehiculo patente LSW903 reservar lugar cono espacio público dia;Vehiculo patente LSW903 reserva lugar con conos en espacio público todos los dias;vehículo mal estacionado;Vehículo mal estacionado;00084488/23
auto abandonado;Auto abandonado;vehículo mal estacionado;Vehículo mal estacionado;00090770/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00092433/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00091271/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00092142/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00103942/23
vehículo mañana estacionado infringir ley respecto poder permanecer 15 día mismo lugar mismo encontrar puerta domicilio hacer dos mes efectuar él varios solicitud respuesta;Vehículo mañana estacionado ,infringiendo la ley, respecto el cual no puede permanecer más de 15 días en el mismo lugar, el mismo se encuentra en la puerta de mi domicilio hace más de dos meses, efectuandose varias solicitudes sin respuestas;vehículo mal estacionado;Vehículo mal estacionado;00151301/23
vehículo encontrar enero estacionado puerta mu casa permitir ascenso descenso persona discapacidad vehículo patente PGT 131 afectado persona discapacidad realizado varios reclamo vehículo encontrar mismo posición día ser movido;Este vehículo se encuentra desde enero estacionado en la puerta de mu casa, sin permitir el ascenso y descenso de persona con discapacidad de mi vehículo patente PGT 131, afectado a persona con discapacidad, habiendo realizado varios reclamos, el vehículo se encuentra en la misma posición desde ese día, sin ser movido para nada;vehículo mal estacionado;Vehículo mal estacionado;00137049/23
